date,avg_sentiment,Close,sentiment_7d,sentiment_change,sentiment_lag1,sentiment_lag3,stock_price_return,return_7d,volatility_7d,sentiment_zscore,alert,alert_combined,weekday,month
2025-01-03,-0.3818,34.0961799621582,,,,,,,,,False,False,Friday,1
2025-01-07,0.2759666666666666,34.61738204956055,,0.6577666666666666,-0.3818,,0.015286231125621663,,,,False,False,Tuesday,1
2025-01-14,-0.3182,34.00141525268555,,-0.5941666666666665,0.2759666666666666,,-0.017793569600183523,,,,True,True,Tuesday,1
2025-01-21,0.6597,34.56999969482422,,0.9779,-0.3182,-0.3818,0.016722375757396213,,,,False,False,Tuesday,1
2025-02-07,0.10115,34.740577697753906,,-0.55855,0.6597,0.2759666666666666,0.004934278404266967,,,,True,False,Friday,2
2025-02-11,0.0,34.36151885986328,,-0.10115,0.10115,-0.3182,-0.01091112649848458,,,,False,False,Tuesday,2
2025-02-13,0.4404,35.88722229003906,0.11103095238095238,0.4404,0.0,0.6597,0.04440151311116547,,0.6253170527912016,,False,False,Thursday,2
2025-02-25,0.0,36.58848190307617,0.1655738095238095,-0.4404,0.4404,0.10115,0.01954064896328722,0.07309622203085686,0.9225040314751247,,True,False,Tuesday,2
2025-02-26,-0.4215,37.0433464050293,0.06593571428571429,-0.4215,0.0,0.0,0.012431904203024091,0.07007937087777405,1.1871514443742248,,True,False,Wednesday,2
2025-03-07,-0.39385,36.90119934082031,0.05512857142857142,0.027650000000000008,-0.4215,0.4404,-0.003837317035420007,0.08528421733579838,1.158702579800128,,False,False,Friday,3
2025-03-10,-0.1367,37.51716995239258,-0.05864285714285714,0.25715,-0.39385,0.0,0.016692427958320488,0.0852522500313937,1.2026332736909682,,False,False,Monday,3
2025-03-17,-0.1531,36.02936935424805,-0.09496428571428571,-0.016400000000000026,-0.1367,-0.4215,-0.03965652526649732,0.03709758852333267,1.038638385215853,,False,False,Monday,3
2025-03-18,0.0714499999999999,37.17601776123047,-0.08475714285714286,0.22454999999999992,-0.1531,-0.39385,0.03182538100260213,0.0819084544209343,0.6009845735618329,,False,False,Tuesday,3
2025-03-26,0.03231,35.42287826538086,-0.14305571428571429,-0.039139999999999904,0.0714499999999999,-0.1367,-0.047157807678849806,-0.01293897925298848,0.723295468318518,,False,False,Wednesday,3
2025-03-27,0.0,34.5320930480957,-0.14305571428571429,-0.03231,0.03231,-0.1531,-0.025147172135803864,-0.05620317509832451,1.0872024856317306,,False,False,Thursday,3
2025-03-28,0.0,33.86874771118164,-0.0828414285714286,0.0,0.0,0.0714499999999999,-0.019209531724305506,-0.08569956556129732,1.3834913546788494,,False,False,Friday,3
2025-03-31,0.2003,32.75053024291992,0.0020371428571428368,0.2003,0.0,0.03231,-0.033016203545445655,-0.1124806014992824,1.737564912787093,,False,False,Monday,3
2025-04-02,0.128,32.6841926574707,0.03985142857142855,-0.0723,0.2003,0.0,-0.0020255423334271105,-0.1288204121220946,1.6820793994518304,,False,False,Wednesday,4
2025-04-03,-0.1620666666666666,31.793407440185547,0.038570476190476176,-0.2900666666666666,0.128,0.0,-0.027254313013650222,-0.11756969355787683,1.851403894434433,,False,False,Thursday,4
2025-04-04,0.0,30.997386932373047,0.028363333333333334,0.1620666666666666,-0.1620666666666666,0.2003,-0.025037281999738203,-0.1661993726315919,1.5515258055261743,,False,False,Friday,4
2025-04-17,0.0,31.98293685913086,0.02374761904761905,0.0,0.0,0.128,0.03179461316878052,-0.09711072546049682,1.2212184777461057,,False,False,Thursday,4
2025-05-06,0.0179999999999999,34.740577697753906,0.026319047619047607,0.0179999999999999,0.0,-0.1620666666666666,0.08622225190791899,0.006037417117109811,1.2758491853557508,,False,False,Tuesday,5
2025-05-13,0.296,36.09570693969727,0.06860476190476189,0.2780000000000001,0.0179999999999999,0.0,0.03900710154370812,0.06575262975490559,1.7923651885827645,,False,False,Tuesday,5
2025-05-14,0.0611,36.09570693969727,0.048719047619047606,-0.2349,0.296,0.0,0.0,0.10214114617275594,2.127410137291612,,False,False,Wednesday,5
2025-05-16,-0.128,35.99146270751953,0.01214761904761903,-0.1891,0.0611,0.0179999999999999,-0.0028879953051451634,0.10118867198920634,2.281758618305868,,False,False,Friday,5
2025-05-21,-0.33525,35.75455474853516,-0.012592857142857168,-0.20725,-0.128,0.296,-0.0065823376201621375,0.12459020996104031,2.142783678570254,,False,False,Wednesday,5
2025-05-30,0.0,35.630001068115234,-0.012592857142857168,0.33525,-0.33525,0.0611,-0.0034835752058982594,0.14945176333247567,1.487855958247853,,False,False,Friday,5
