company_name,title,description,url,publishedAt,source
adidas,How This Refugee Became Albania’s First Billionaire,"Samir Mane fled Albania’s communist regime in the early 1990s and resettled in Austria. Now back in Albania, he oversees a real estate and retail empire.",https://www.forbes.com/sites/giacomotognini/2025/04/19/how-this-refugee-became-albanias-first-billionaire/,2025-04-19 10:30:03+00:00,Forbes
adidas,Gen Z women are entering the workforce. Here's what they're wearing to the office.,"As members of Gen Z enter office settings, many are confronting the question of how to balance personal style with work-appropriate clothes.",https://www.businessinsider.com/what-gen-z-is-wearing-to-the-office-2025-4,2025-04-21 11:48:02+00:00,Business Insider
adidas,Forbes Daily: U.S. Travelers Warned REAL ID Deadline Is Real This Time,"Today’s Forbes Daily covers the death of Pope Francis, betting on the fear gauge, how Elon Musk his inner circle rich, Albania’s first billionaire and more.",https://www.forbes.com/sites/chrisdobstaff/2025/04/21/forbes-daily-us-travelers-warned-real-id-deadline-is-real-this-time/,2025-04-21 12:50:36+00:00,Forbes
adidas,How Brands Can Rock The Women’s Sports Revolution,"Women’s sports are soaring but how best to grasp a space rippling with seismic commercial opportunities & history-making social impact? Pre-UEFA Women’s Euro, heres’ how",https://www.forbes.com/sites/katiebaron/2025/04/22/how-brands-can-rock-the-womens-sports-revolution/,2025-04-22 07:17:51+00:00,Forbes
adidas,Could Apple Eventually Bring iPhone Manufacturing To The U.S.?,"The notion that we can recreate the manufacturing landscape of the 1950s and 1960s isn’t just unlikely – it's impossible in today's global, technology-driven marketplace.",https://www.forbes.com/sites/timbajarin/2025/04/22/could-apple-eventually-bring-iphone-manufacturing-to-the-us/,2025-04-22 14:00:00+00:00,Forbes
adidas,Is It Time For Fashion To Enter Its Heat Pump Era?,New research has quantified the opportunities for electrification across fashion supply chains. How can it help brands and manufacturers?,https://www.forbes.com/sites/amynguyen/2025/04/24/is-it-time-for-fashion-to-enter-its-heat-pump-era/,2025-04-24 09:55:02+00:00,Forbes
adidas,Juventus Goes To The Moon And Launches New Capsule Collection,Juventus is launching its latest space inspired merchandise capsule collection. The new capsule focuses on the club's lunar mission with Lunar Outpost and innovation.,https://www.forbes.com/sites/vitascarosella/2025/04/25/juventus-goes-to-the-moon-and-launches-new-capsule-collection/,2025-04-25 17:47:18+00:00,Forbes
adidas,"I tried ChatGPT's new shopping feature. It's efficient, just not built for picky shoppers like me.","I shopped for headphones and running sneakers. Both searches gave me a lot of information, but not exactly what I wanted.",https://www.businessinsider.com/chatgpt-openai-shopping-feature-efficient-google-2025-4,2025-04-29 09:12:41+00:00,Business Insider
adidas,The one brand that rules Coachella,The top brands at Coachella this year included fashion brands like Revolve and a few new players in skincare.,https://www.businessinsider.com/coachella-top-brands-influencer-marketing-revolve-adidas-2025-4,2025-04-29 16:49:50+00:00,Business Insider
adidas,Adidas says tariffs are going to make your sneakers more expensive,"Adidas warns that Trump's tariffs will lead to an increase in sneaker prices in the US as it relies on imports, affecting its business outlook.",https://www.businessinsider.com/adidas-says-tariffs-are-going-to-make-sneakers-more-expensive-2025-4,2025-04-30 10:30:24+00:00,Business Insider
